,Python_Score,ML_Score,NLP_Score,DL_Score,Num_of_Skills,PG_Score,UG_Score,12_Score,10_Score,availability,score
1124,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5238095238095237,0.0,0.828,1.0,1.0,1,0.5756571428571428
163,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.15873015873015872,0.0,0.0,1.0,1.0,1,0.5746031746031746
493,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.0,0.0,1.0,1.0,1,0.5738095238095238
766,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4603174603174603,0.8300000000000001,0.0,1.0,0.0,1,0.5726825396825397
731,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.1746031746031746,0.0,0.952,1.0,1.0,1,0.5705968253968253
299,1.0,1.0,0.6666666666666666,1.0,0.36507936507936506,0.0,0.855,0.0,0.0,1,0.570420634920635
803,1.0,1.0,0.0,0.0,0.07936507936507936,0.6599999999999999,0.0,1.0,1.0,1,0.5699682539682539
120,0.6666666666666666,0.6666666666666666,0.0,0.0,0.14285714285714285,0.71,0.578,1.0,1.0,1,0.5692761904761904
734,1.0,1.0,1.0,0.6666666666666666,0.23809523809523808,0.0,0.905,0.0,0.0,1,0.5690714285714287
947,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23809523809523808,0.0,0.9,1.0,1.0,1,0.5685714285714285
642,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.23809523809523808,0.0,0.897,1.0,1.0,1,0.5682714285714285
782,0.0,1.0,0.6666666666666666,0.0,0.1746031746031746,0.9199999999999999,0.0,1.0,1.0,1,0.5673968253968253
391,1.0,1.0,0.0,0.0,0.12698412698412698,0.0,0.6,1.0,1.0,1,0.5663492063492063
802,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.2222222222222222,0.0,0.8800000000000001,1.0,1.0,1,0.5657777777777777
1120,1.0,1.0,0.6666666666666666,1.0,0.31746031746031744,0.812,0.0,0.0,0.0,1,0.5637396825396825
988,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.1746031746031746,0.0,0.8800000000000001,1.0,1.0,1,0.5633968253968253
1077,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.1746031746031746,0.873,0.0,1.0,1.0,1,0.5626968253968253
405,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.19047619047619047,0.76,0.77,0.0,0.0,1,0.5625238095238095
452,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.897,0.0,1.0,1.0,1,0.5619222222222222
727,1.0,1.0,0.6666666666666666,1.0,0.2698412698412698,0.0,0.8130000000000001,0.0,0.0,1,0.5614587301587302
1095,1.0,0.6666666666666666,0.0,0.0,0.047619047619047616,0.9189999999999999,0.0,1.0,1.0,1,0.560947619047619
848,0.6666666666666666,1.0,1.0,1.0,0.2222222222222222,0.825,0.0,0.0,0.0,1,0.5602777777777779
